Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
WORK,34.37,Call,38.00,09/04/20,3,0.29,0.3,0.30,0.29,8157,206,39.6,111.05%,"11:50 ET"
MRVL,39.52,Call,42.00,09/04/20,3,0.14,0.16,0.17,0.14,11578,320,36.18,61.51%,"11:48 ET"
COMM,10.67,Call,11.00,11/20/20,80,1.30,1.33,1.35,1.35,20542,709,28.97,71.26%,"11:46 ET"
CWH,29.47,Put,23.00,09/18/20,17,0.40,0.43,0.45,0.42,5505,198,27.8,106.37%,"11:46 ET"
KAR,17.43,Call,17.50,09/18/20,17,0.90,0.93,0.95,0.95,6032,237,25.45,63.42%,"11:41 ET"
DOCU,261.01,Call,300.00,09/04/20,3,13.00,13.2,13.40,13.21,4179,182,22.96,320.00%,"11:49 ET"
TSLA,493.25,Call,500.00,02/19/21,171,110.30,111.2,112.10,111.47,7618,426,17.88,87.05%,"11:40 ET"
MRVL,39.52,Call,41.00,09/04/20,3,0.25,0.27,0.28,0.27,5863,343,17.09,57.98%,"11:47 ET"
AMZN,3497.12,Put,3495.00,09/04/20,3,43.85,44.63,45.40,43.50,4190,248,16.9,30.89%,"11:41 ET"
ZM,447.7,Put,350.00,09/04/20,3,0.30,0.35,0.40,0.35,2225,132,16.86,130.04%,"11:37 ET"
DOCU,261.01,Call,265.00,09/04/20,3,20.00,20.6,21.20,20.30,3074,193,15.93,284.38%,"11:49 ET"
WORK,34.37,Call,35.50,09/18/20,17,3.10,3.15,3.20,3.15,2458,156,15.76,124.17%,"11:46 ET"
HOG,27.93,Call,28.00,09/04/20,3,0.45,0.53,0.60,0.50,1750,112,15.63,51.20%,"11:41 ET"
QCOM,121.97,Put,117.00,10/02/20,31,3.15,3.3,3.45,4.40,2099,143,14.68,47.02%,"11:38 ET"
SQ,168.47,Call,177.50,09/04/20,3,1.13,1.17,1.21,1.13,2099,148,14.18,70.40%,"11:41 ET"
AAPL,132.46,Put,131.25,09/25/20,24,6.10,6.15,6.20,6.10,2115,150,14.1,48.99%,"11:37 ET"
AMZN,3497.12,Put,3485.00,09/04/20,3,39.05,39.53,40.00,39.10,3975,283,14.05,31.53%,"11:41 ET"
BABA,292.26,Call,292.50,09/11/20,10,9.90,10.08,10.25,10.30,2393,173,13.83,53.58%,"11:37 ET"
CHWY,69.31,Call,75.00,09/11/20,10,3.65,3.83,4.00,3.85,4292,315,13.63,132.57%,"11:46 ET"
DOCU,261.01,Call,270.00,09/04/20,3,19.10,19.5,19.90,19.01,2967,220,13.49,289.86%,"11:49 ET"
CHWY,69.31,Call,70.00,09/04/20,3,2.30,2.39,2.47,2.59,4662,349,13.36,116.85%,"11:46 ET"
DOCU,261.01,Call,340.00,09/04/20,3,8.50,8.73,8.95,8.80,5751,452,12.72,355.44%,"11:49 ET"
UTZ,18.87,Call,12.50,12/17/21,472,7.70,8.15,8.60,8.40,1642,130,12.63,64.00%,"11:32 ET"
PENN,57.76,Put,55.00,09/04/20,3,1.20,1.23,1.26,1.11,1457,120,12.14,121.64%,"11:35 ET"
DOCU,261.01,Call,260.00,09/04/20,3,22.00,22.38,22.75,22.00,5155,446,11.56,281.94%,"11:49 ET"
DELL,66.76,Put,62.50,10/16/20,45,1.72,1.76,1.79,1.75,1515,134,11.31,38.66%,"11:44 ET"
ETSY,124.56,Call,132.00,09/18/20,17,3.35,3.45,3.55,3.49,1429,127,11.25,59.81%,"11:31 ET"
DOCU,261.01,Call,280.00,09/04/20,3,16.50,16.85,17.20,16.50,2475,221,11.2,297.63%,"11:49 ET"
ROKU,180.32,Call,185.00,09/04/20,3,3.20,3.25,3.30,3.40,33211,3017,11.01,97.42%,"11:40 ET"
DOCU,261.01,Call,260.00,09/11/20,10,23.60,24.53,25.45,25.25,2175,198,10.98,173.82%,"11:49 ET"
PANW,257.98,Call,275.00,09/18/20,17,1.52,1.67,1.81,1.70,1841,173,10.64,31.40%,"11:35 ET"
DOCU,261.01,Call,340.00,09/18/20,17,11.45,11.7,11.95,11.50,2626,247,10.63,165.28%,"11:49 ET"
PTON,83.75,Put,80.00,09/04/20,3,1.45,1.49,1.53,1.45,1604,152,10.55,88.39%,"11:38 ET"
GILD,65.13,Call,65.50,10/09/20,38,1.53,1.65,1.76,1.76,1666,158,10.54,22.52%,"11:38 ET"
DOCU,261.01,Call,275.00,09/04/20,3,17.30,17.9,18.50,17.49,1195,114,10.48,291.40%,"11:49 ET"
WMT,146.84,Call,147.00,09/04/20,3,3.35,3.45,3.55,3.36,6190,617,10.03,48.82%,"11:50 ET"
C,51.45,Put,45.00,10/02/20,31,0.54,0.57,0.59,0.56,2034,203,10.02,46.87%,"11:38 ET"
DOCU,261.01,Call,270.00,09/11/20,10,20.90,21.7,22.50,22.45,1056,106,9.96,179.45%,"11:49 ET"
APT,13.49,Put,14.50,09/11/20,10,0.63,1.24,1.85,1.52,1100,111,9.91,97.31%,"11:36 ET"
DOCU,261.01,Call,300.00,09/11/20,10,15.00,15.45,15.90,15.45,3750,394,9.52,189.94%,"11:49 ET"
ZEN,102.09,Call,110.00,09/18/20,17,1.25,1.38,1.50,1.25,957,101,9.48,44.03%,"11:37 ET"
TSLA,493.25,Call,540.00,10/02/20,31,48.95,49.35,49.75,49.00,6663,722,9.23,120.38%,"11:46 ET"
PAYX,75.68,Call,85.00,10/16/20,45,0.45,0.58,0.70,0.50,1244,135,9.21,28.15%,"11:26 ET"
MRNA,62.99,Call,80.00,12/18/20,108,10.50,11.18,11.85,10.70,1262,138,9.14,117.63%,"11:47 ET"
CRWD,138.41,Call,150.00,09/04/20,3,6.50,6.63,6.75,6.31,5142,581,8.85,229.80%,"11:47 ET"
CHWY,69.31,Call,75.00,09/18/20,17,4.55,4.63,4.70,4.65,4337,509,8.52,115.31%,"11:46 ET"
WMT,146.84,Call,155.00,09/04/20,3,1.20,1.26,1.31,1.23,14274,1676,8.52,65.89%,"11:50 ET"
CRWD,138.41,Call,175.00,09/04/20,3,3.35,3.53,3.70,3.50,1957,232,8.44,283.57%,"11:47 ET"
ZM,447.7,Call,440.00,09/18/20,17,31.70,32.6,33.50,31.50,868,105,8.27,75.12%,"11:37 ET"
SMAR,56.6,Call,60.00,09/18/20,17,3.60,3.8,4.00,3.70,6314,772,8.18,104.40%,"11:41 ET"
SMAR,56.6,Call,65.00,09/18/20,17,2.10,2.28,2.45,2.35,2004,248,8.08,106.88%,"11:37 ET"
GOGO,6.4,Put,5.00,10/16/20,45,0.45,0.55,0.65,0.55,1001,124,8.07,138.64%,"11:38 ET"
KODK,7.83,Call,9.00,09/04/20,3,0.50,0.53,0.55,0.54,10934,1355,8.07,338.29%,"11:45 ET"
SQ,168.47,Call,170.00,09/04/20,3,2.83,2.91,2.98,3.07,18322,2272,8.06,67.31%,"11:43 ET"
GOGO,6.4,Call,7.00,01/21/22,507,1.70,1.9,2.10,1.89,7002,894,7.83,71.87%,"11:38 ET"
CLDR,13.43,Put,12.00,09/04/20,3,0.32,0.33,0.34,0.32,7832,1000,7.83,179.87%,"11:45 ET"
TSLA,493.25,Put,540.00,09/18/20,17,81.05,81.45,81.85,82.65,2407,310,7.76,120.88%,"11:41 ET"
DOCU,261.01,Call,255.00,09/04/20,3,23.65,23.92,24.20,23.50,1737,228,7.62,275.71%,"11:49 ET"
CRWD,138.41,Call,175.00,09/11/20,10,3.65,3.83,4.00,3.80,1947,256,7.61,159.88%,"11:47 ET"
M,7,Call,8.50,09/18/20,17,0.22,0.23,0.23,0.23,2170,285,7.61,110.34%,"11:47 ET"
ROKU,180.32,Put,180.00,09/04/20,3,6.20,6.3,6.40,6.25,994,131,7.59,77.86%,"11:40 ET"
OLN,11.31,Call,12.50,09/11/20,10,0.10,0.13,0.15,0.12,1028,136,7.56,62.30%,"11:07 ET"
TSM,80.78,Call,83.00,09/04/20,3,0.55,0.57,0.58,0.58,7600,1017,7.47,48.17%,"11:46 ET"
TSLA,493.25,Put,405.00,09/11/20,10,8.65,8.78,8.90,8.30,1112,150,7.41,121.03%,"11:32 ET"
TSLA,493.25,Put,530.00,09/18/20,17,74.15,74.38,74.60,74.45,2299,311,7.39,117.55%,"11:45 ET"
ZM,447.7,Call,445.00,09/11/20,10,23.60,24.45,25.30,24.00,798,110,7.25,80.83%,"11:36 ET"
CRWD,138.41,Call,165.00,09/04/20,3,4.15,4.25,4.35,4.20,832,115,7.23,260.24%,"11:47 ET"
OLN,11.31,Call,12.00,09/04/20,3,0.05,0.08,0.10,0.10,1019,143,7.13,76.00%,"11:25 ET"
ZM,447.7,Call,450.00,09/18/20,17,28.00,28.5,29.00,27.30,1708,240,7.12,76.45%,"11:36 ET"
BBBY,12.81,Put,12.50,09/04/20,3,0.25,0.26,0.27,0.28,1265,178,7.11,98.61%,"11:41 ET"
TTD,493.74,Call,600.00,09/18/20,17,2.00,2.05,2.10,2.10,1334,188,7.1,62.07%,"11:46 ET"
ROKU,180.32,Call,187.50,09/04/20,3,2.67,2.74,2.81,2.76,2607,369,7.07,98.65%,"11:40 ET"
NFLX,551.42,Put,545.00,09/04/20,3,9.15,9.33,9.50,9.46,922,131,7.04,47.97%,"11:47 ET"
HOME,23.76,Call,24.00,09/18/20,17,2.90,3,3.10,2.90,988,143,6.91,154.12%,"11:40 ET"
HOME,23.76,Put,18.00,09/18/20,17,0.75,0.85,0.95,0.90,1802,261,6.9,161.14%,"11:37 ET"
WORK,34.37,Call,35.50,09/04/20,3,0.65,0.66,0.67,0.64,2203,327,6.74,90.92%,"11:48 ET"
DOCU,261.01,Call,290.00,09/04/20,3,13.60,14.45,15.30,14.05,680,103,6.6,301.21%,"11:48 ET"
GNW,3.3,Call,4.00,12/18/20,108,0.40,0.5,0.60,0.58,2000,307,6.51,114.79%,"10:29 ET"
DG,201.09,Call,210.00,11/20/20,80,6.80,6.95,7.10,6.86,2505,385,6.51,27.13%,"11:48 ET"
DB,9.55,Put,9.50,09/18/20,17,0.34,0.36,0.38,0.41,803,127,6.32,52.86%,"10:02 ET"
OXY,12.48,Put,13.00,10/02/20,31,1.25,1.26,1.26,1.26,1698,269,6.31,68.34%,"11:35 ET"
PLAY,17.99,Call,19.00,09/04/20,3,0.45,0.5,0.55,0.44,2531,406,6.23,127.26%,"11:36 ET"
WMT,146.84,Call,150.00,09/04/20,3,2.30,2.32,2.33,2.23,33016,5309,6.22,54.99%,"11:50 ET"
CRWD,138.41,Call,160.00,09/04/20,3,4.85,4.93,5.00,4.78,1052,171,6.15,250.75%,"11:47 ET"
ZM,447.7,Put,165.00,09/18/20,17,0.05,0.15,0.25,0.25,907,150,6.05,187.69%,"11:23 ET"
BABA,292.26,Call,325.00,11/20/20,80,14.30,14.5,14.70,14.50,776,132,5.88,47.88%,"11:36 ET"
INTC,50.51,Put,50.00,11/20/20,80,3.25,3.3,3.35,3.30,8044,1367,5.88,38.85%,"11:25 ET"
NVDA,553.32,Put,550.00,09/04/20,3,11.50,11.58,11.65,11.25,1519,264,5.75,58.53%,"11:51 ET"
ROKU,180.32,Call,182.50,09/04/20,3,3.90,4,4.10,4.02,5104,892,5.72,93.84%,"11:39 ET"
PENN,57.76,Call,59.00,09/04/20,3,1.85,1.92,1.98,1.85,964,169,5.7,97.12%,"11:32 ET"
AAPL,132.46,Put,132.50,09/04/20,3,2.54,2.55,2.57,2.52,5433,953,5.7,48.88%,"11:40 ET"
CVNA,228.73,Call,255.00,09/04/20,3,0.88,0.94,1.00,0.86,1012,178,5.69,91.21%,"11:48 ET"
AMC,6.03,Call,5.00,10/16/20,45,1.26,1.31,1.35,1.31,1590,280,5.68,86.78%,"11:20 ET"
GOGO,6.4,Call,8.00,09/18/20,17,0.20,0.25,0.30,0.25,859,152,5.65,137.43%,"11:36 ET"
ZM,447.7,Put,350.00,09/18/20,17,3.60,4,4.40,3.90,806,144,5.6,89.90%,"11:31 ET"
NFLX,551.42,Call,570.00,09/04/20,3,4.00,4.13,4.25,3.80,7124,1282,5.56,62.17%,"11:49 ET"
NVDA,553.32,Put,535.00,09/18/20,17,16.95,17.28,17.60,17.54,654,120,5.45,53.04%,"11:40 ET"
C,51.45,Put,50.00,09/25/20,24,1.52,1.54,1.56,1.47,1332,250,5.33,41.06%,"11:33 ET"
MRVL,39.52,Call,38.50,09/18/20,17,1.82,1.87,1.91,1.85,615,119,5.17,40.25%,"11:45 ET"
MCD,211.46,Put,185.00,11/20/20,80,2.96,3.01,3.05,2.98,683,132,5.17,32.19%,"11:46 ET"
NFLX,551.42,Put,535.00,09/04/20,3,4.75,5,5.25,4.90,1319,262,5.03,46.23%,"11:45 ET"
JWN,15.81,Put,15.00,09/04/20,3,0.17,0.19,0.20,0.18,1794,357,5.03,92.66%,"11:34 ET"
SQ,168.47,Call,177.50,09/11/20,10,3.00,3.1,3.20,3.00,556,111,5.01,59.57%,"11:39 ET"
GS,205.87,Call,190.00,06/18/21,290,31.75,32.28,32.80,33.10,500,100,5,33.23%,"10:23 ET"
CRWD,138.41,Call,140.00,09/11/20,10,9.90,10.13,10.35,10.15,1126,225,5,129.77%,"11:47 ET"
SQ,168.47,Call,167.50,09/11/20,10,6.35,6.45,6.55,6.45,974,197,4.94,57.09%,"11:42 ET"
TSLA,493.25,Call,550.00,06/18/21,290,117.35,118.23,119.10,122.05,7229,1472,4.91,82.48%,"11:14 ET"
WMT,146.84,Call,143.00,09/04/20,3,5.75,5.88,6.00,5.72,7984,1645,4.85,36.97%,"11:50 ET"
CHWY,69.31,Call,65.00,09/11/20,10,7.85,7.93,8.00,8.09,2751,570,4.83,128.71%,"11:46 ET"
NFLX,551.42,Call,560.00,09/04/20,3,5.95,6.1,6.25,5.75,8058,1669,4.83,58.89%,"11:49 ET"
DOCU,261.01,Call,310.00,09/18/20,17,14.30,14.9,15.50,14.70,1012,211,4.8,153.17%,"11:48 ET"
NFLX,551.42,Call,605.00,09/04/20,3,1.24,1.31,1.38,1.27,597,126,4.74,78.25%,"11:49 ET"
TSLA,493.25,Put,280.00,09/17/21,381,43.65,44.6,45.55,45.00,750,160,4.69,83.80%,"11:11 ET"
DOCU,261.01,Call,250.00,09/04/20,3,25.20,25.65,26.10,25.85,5803,1236,4.69,277.13%,"11:49 ET"
OKTA,227,Call,240.00,09/04/20,3,0.98,1.04,1.10,1.21,846,181,4.67,66.41%,"11:23 ET"
CRWD,138.41,Call,175.00,09/18/20,17,3.95,4.1,4.25,4.15,1419,306,4.64,126.61%,"11:45 ET"
WMT,146.84,Put,145.00,09/04/20,3,1.67,1.73,1.78,1.76,957,207,4.62,59.77%,"11:50 ET"
PG,137.55,Call,139.00,10/02/20,31,2.55,2.58,2.60,2.55,608,132,4.61,20.03%,"11:34 ET"
CHWY,69.31,Call,64.00,09/04/20,3,5.70,5.98,6.25,6.30,868,192,4.52,122.42%,"11:46 ET"
AMD,91.68,Call,91.50,09/04/20,3,1.69,1.73,1.76,1.69,11609,2580,4.5,56.30%,"11:41 ET"
WMT,146.84,Put,141.00,09/04/20,3,0.56,0.62,0.67,0.60,985,220,4.48,55.85%,"11:49 ET"
NFLX,551.42,Call,545.00,09/11/20,10,18.80,19.03,19.25,18.27,986,222,4.44,50.60%,"11:49 ET"
